Credora;Devedora;Referencia;Trafego;POI;Rel;DESC;GH;Chamadas;Minutos;Tarifa;R$_Liq;PIS_Cofins;ICMS;R$_Bruto;CN_RELACIONAMENTO;CBS;IBS_Municipal;IBS_Estadual;EOT_Ponta;Corredor
025;011;202603;202601;1ALG006I;00;NENL;N;000000000069;000000000158,8;0,00626;0000000000000,99;0000000000000,04;0000000000000,00;0000000000001,03;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1ALG006I;00;NENL;R;000000000001;000000000027,4;0,00438;0000000000000,12;0000000000000,00;0000000000000,00;0000000000000,12;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1ALG015I;00;NENL;N;000000000003;000000000016,8;0,00626;0000000000000,11;0000000000000,00;0000000000000,00;0000000000000,11;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1CTB006I;00;NENL;N;000000000002;000000000015,6;0,00626;0000000000000,10;0000000000000,00;0000000000000,00;0000000000000,10;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1CTB009I;00;NENL;N;000000000018;000000000038,2;0,00626;0000000000000,24;0000000000000,01;0000000000000,00;0000000000000,25;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1CTB012I;00;NENL;N;000000000012;000000000013,0;0,00626;0000000000000,08;0000000000000,00;0000000000000,00;0000000000000,08;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1CTB018I;00;NENL;N;000000000007;000000000015,9;0,00626;0000000000000,10;0000000000000,00;0000000000000,00;0000000000000,10;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1CTB021I;00;NENL;N;000000000024;000000000112,6;0,00626;0000000000000,70;0000000000000,03;0000000000000,00;0000000000000,73;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1CTB027I;00;NENL;N;000000000002;000000000003,4;0,00626;0000000000000,02;0000000000000,00;0000000000000,00;0000000000000,02;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1CTB033I;00;NENL;N;000000000005;000000000007,8;0,00626;0000000000000,05;0000000000000,00;0000000000000,00;0000000000000,05;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1OIF018I;00;NENL;N;000000000001;000000000003,6;0,00626;0000000000000,02;0000000000000,00;0000000000000,00;0000000000000,02;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;1OIF045I;00;NENL;N;000000000002;000000000002,0;0,00626;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3ALG001I;00;NENL;N;000000000009;000000000011,6;0,00626;0000000000000,07;0000000000000,00;0000000000000,00;0000000000000,07;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3ALG003I;00;NENL;N;000000000009;000000000012,7;0,00626;0000000000000,08;0000000000000,00;0000000000000,00;0000000000000,08;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB0021;00;NENL;N;000000000018;000000000073,3;0,00626;0000000000000,46;0000000000000,02;0000000000000,00;0000000000000,48;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB003I;00;NENL;N;000000000005;000000000013,4;0,00626;0000000000000,08;0000000000000,00;0000000000000,00;0000000000000,08;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB006I;00;NENL;N;000000000001;000000000000,5;0,00626;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB009I;00;NENL;N;000000000003;000000000004,5;0,00626;0000000000000,03;0000000000000,00;0000000000000,00;0000000000000,03;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB012I;00;NENL;N;000000000007;000000000033,2;0,00626;0000000000000,21;0000000000000,01;0000000000000,00;0000000000000,22;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB015I;00;NENL;N;000000000003;000000000016,1;0,00626;0000000000000,10;0000000000000,00;0000000000000,00;0000000000000,10;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB018I;00;NENL;N;000000000006;000000000017,5;0,00626;0000000000000,11;0000000000000,00;0000000000000,00;0000000000000,11;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB021I;00;NENL;N;000000000002;000000000006,5;0,00626;0000000000000,04;0000000000000,00;0000000000000,00;0000000000000,04;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB024I;00;NENL;N;000000000006;000000000017,1;0,00626;0000000000000,11;0000000000000,00;0000000000000,00;0000000000000,11;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB027I;00;NENL;N;000000000001;000000000000,5;0,00626;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3CTB033I;00;NENL;N;000000000004;000000000004,4;0,00626;0000000000000,03;0000000000000,00;0000000000000,00;0000000000000,03;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3OIF028I;00;NENL;N;000000000001;000000000012,3;0,00626;0000000000000,08;0000000000000,00;0000000000000,00;0000000000000,08;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3OIF046I;00;NENL;N;000000000004;000000000033,8;0,00626;0000000000000,21;0000000000000,01;0000000000000,00;0000000000000,22;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3OIF057I;00;NENL;N;000000000001;000000000000,8;0,00626;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3OIF063I;00;NENL;N;000000000001;000000000003,3;0,00626;0000000000000,02;0000000000000,00;0000000000000,00;0000000000000,02;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3OIF066I;00;NENL;N;000000000002;000000000011,3;0,00626;0000000000000,07;0000000000000,00;0000000000000,00;0000000000000,07;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3OIF127I;00;NENL;N;000000000006;000000000008,8;0,00626;0000000000000,06;0000000000000,00;0000000000000,00;0000000000000,06;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;3PA_FALK;00;GE8L;N;000000000002;000000000001,6;0,00626;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;4FACTR4I;00;NENL;N;000000000009;000000000030,0;0,00626;0000000000000,19;0000000000000,01;0000000000000,00;0000000000000,20;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6012002I;00;NENL;N;000000000001;000000000000,5;0,00626;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6ALG006I;00;NENL;N;000000000057;000000000164,1;0,00626;0000000000001,03;0000000000000,04;0000000000000,00;0000000000001,07;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6ALG006I;00;NENL;R;000000000001;000000000000,5;0,00438;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6ALG015I;00;NENL;N;000000000007;000000000007,6;0,00626;0000000000000,05;0000000000000,00;0000000000000,00;0000000000000,05;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6CTB003I;00;NENL;N;000000000005;000000000011,0;0,00626;0000000000000,07;0000000000000,00;0000000000000,00;0000000000000,07;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6CTB006I;00;NENL;N;000000000003;000000000013,2;0,00626;0000000000000,08;0000000000000,00;0000000000000,00;0000000000000,08;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6CTB009I;00;NENL;N;000000000022;000000000051,3;0,00626;0000000000000,32;0000000000000,01;0000000000000,00;0000000000000,33;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6CTB012I;00;NENL;N;000000000007;000000000013,3;0,00626;0000000000000,08;0000000000000,00;0000000000000,00;0000000000000,08;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6CTB016I;00;NENL;N;000000000029;000000000057,7;0,00626;0000000000000,36;0000000000000,01;0000000000000,00;0000000000000,37;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6CTB016I;00;NENL;R;000000000001;000000000029,8;0,00438;0000000000000,13;0000000000000,00;0000000000000,00;0000000000000,13;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6CTB018I;00;NENL;N;000000000003;000000000005,3;0,00626;0000000000000,03;0000000000000,00;0000000000000,00;0000000000000,03;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;025
025;011;202603;202601;6CTB021I;00;NENL;N;000000000029;000000000118,7;0,00626;0000000000000,74;0000000000000,03;0000000000000,00;0000000000000,77;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;025
