EOT Credora;EOT Devedora;Periodo de Referencia;Periodo de Trafego;Ponto de Interconexao;Tipo Relatorio;Descritor de CDR;Grupo Horario;Chamadas;Duracao em Minutos;Tarifa Aplicavel;Valor Liquido;PIS/Cofins;Valor ICMS;Valor Bruto
739;044;202607;202607;TLF_44VC2E;0;LENL;N;3036;4618,1;0,00608;28,08;1,06;0,00;29,14
739;044;202607;202607;TLF_45LC6E;0;LENL;N;1;0,5;0,00608;0,00;0,00;0,00;0,00
739;044;202607;202607;TLF_45VC5E;0;LENL;N;10445;18189,6;0,00608;110,59;4,19;0,00;114,78
739;044;202607;202607;TLF_45VC5E;0;LENL;R;824;1356,2;0,00425;5,77;0,22;0,00;5,98
739;044;202607;202607;TLF_44VC2E;0;LENL;R;320;372,0;0,00425;1,58;0,06;0,00;1,64
739;211;202607;202607;TLF_45LD7S;0;GS8L;N;327;1780,4;0,00608;10,82;0,41;0,00;11,23
739;211;202607;202607;TLF_45LD7S;0;GS8L;R;14;46,7;0,00425;0,20;0,01;0,00;0,21
739;211;202607;202607;TLF_45LD7E;0;NENL;N;37;106,7;0,00608;0,65;0,02;0,00;0,67
739;211;202607;202607;TLF_44LD4E;0;NENL;N;755;847,2;0,00608;5,15;0,20;0,00;5,35
739;211;202607;202607;TLF_45LD2E;0;NENL;N;1746;2281,7;0,00608;13,87;0,53;0,00;14,40
739;211;202607;202607;TLF_45LD7E;0;NENL;R;2;13,0;0,00425;0,06;0,00;0,00;0,06
739;211;202607;202607;TLF_45LD2E;0;NENL;R;18;25,0;0,00425;0,11;0,00;0,00;0,11
739;211;202607;202607;TLF_44LD4E;0;NENL;R;4;4,1;0,00425;0,02;0,00;0,00;0,02
F46;967;202607;202607;TLF_67LD2E;0;NENL;N;222;170,3;0,00608;1,04;0,04;0,00;1,07
F46;967;202607;202607;TLF_67LD2E;0;NENL;R;4;2,0;0,00425;0,01;0,00;0,00;0,01
