CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;VALOR_TOTAL_REAL;OPERATOR_TYPE;EOT_CREDORA
012;010;202607;202605;FACX_5107;00;1LENI;D;1;3,4;0,00787;0,03;0,00;0,00;0,03;0,00;M;143
012;010;202607;202606;FACX_0127;00;1LENI;D;1;0,5;0,00787;0,00;0,00;0,00;0,00;0,00;M;143
012;010;202607;202607;FACX_0068;00;1LENI;D;9;20,1;0,00787;0,16;0,01;0,00;0,17;0,00;M;143
012;010;202607;202607;FACX_0068;00;1LENI;N;11;45,1;0,00787;0,35;0,01;0,00;0,36;0,00;M;143
012;010;202607;202607;FACX_0068;00;1LENI;R;4;5,6;0,00787;0,04;0,00;0,00;0,04;0,00;M;143
012;010;202607;202607;FACX_0068;00;1LENI;S;1;1,2;0,00787;0,01;0,00;0,00;0,01;0,00;M;143
012;010;202607;202607;FACX_0127;00;1LENI;D;153;501,6;0,00787;3,95;0,15;0,00;4,10;0,00;M;011
012;010;202607;202607;FACX_0127;00;1LENI;D;2819;6223,6;0,00787;48,98;1,86;0,00;50,84;0,00;M;025
012;010;202607;202607;FACX_0127;00;1LENI;D;66506;161220,3;0,00787;1268,80;48,07;0,00;1316,87;0,00;M;143
012;010;202607;202607;FACX_0127;00;1LENI;D;1099;2751,1;0,00787;21,65;0,82;0,00;22,47;0,00;M;D56
012;010;202607;202607;FACX_0127;00;1LENI;D;2;2,6;0,00787;0,02;0,00;0,00;0,02;0,00;M;H92
012;010;202607;202607;FACX_0127;00;1LENI;N;120;355,7;0,00787;2,80;0,11;0,00;2,91;0,00;M;011
012;010;202607;202607;FACX_0127;00;1LENI;N;1477;3043,6;0,00787;23,95;0,91;0,00;24,86;0,00;M;025
012;010;202607;202607;FACX_0127;00;1LENI;N;33470;72171,2;0,00787;567,99;21,52;0,00;589,51;0,00;M;143
012;010;202607;202607;FACX_0127;00;1LENI;N;671;1878,7;0,00787;14,79;0,56;0,00;15,35;0,00;M;D56
012;010;202607;202607;FACX_0127;00;1LENI;N;3;2,7;0,00787;0,02;0,00;0,00;0,02;0,00;M;H92
012;010;202607;202607;FACX_0127;00;1LENI;R;52;125,1;0,00787;0,98;0,04;0,00;1,02;0,00;M;011
012;010;202607;202607;FACX_0127;00;1LENI;R;472;1327,8;0,00787;10,45;0,40;0,00;10,85;0,00;M;025
012;010;202607;202607;FACX_0127;00;1LENI;R;4191;7140,7;0,00787;56,20;2,13;0,00;58,33;0,00;M;143
012;010;202607;202607;FACX_0127;00;1LENI;R;155;590,6;0,00787;4,65;0,18;0,00;4,83;0,00;M;D56
012;010;202607;202607;FACX_0127;00;1LENI;S;8;9,0;0,00787;0,07;0,00;0,00;0,07;0,00;M;011
012;010;202607;202607;FACX_0127;00;1LENI;S;36;37,9;0,00787;0,30;0,01;0,00;0,31;0,00;M;025
012;010;202607;202607;FACX_0127;00;1LENI;S;370;668,0;0,00787;5,26;0,20;0,00;5,46;0,00;M;143
012;010;202607;202607;FACX_0127;00;1LENI;S;5;34,8;0,00787;0,27;0,01;0,00;0,28;0,00;M;D56
