CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;
034;003;202607;202607;MERVIV02;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;003;202607;;;01;;;1;0,00;;0,05;0,00;0,00;0,05;
034;004;202607;202607;MERVIV01;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;004;202607;202607;MERVIV02;00;SENS;N;6;0,0;0,05000;0,30;0,01;0,00;0,31;
034;004;202607;202607;MERVIV02;00;SENS;R;5;0,0;0,05000;0,25;0,01;0,00;0,26;
034;004;202607;;;01;;;12;0,00;;0,60;0,02;0,00;0,62;
034;010;202607;202607;MERVIV01;00;SENS;N;8;0,0;0,05000;0,40;0,02;0,00;0,42;
034;010;202607;202607;MERVIV01;00;SENS;N;66;0,0;0,05000;3,30;0,13;0,00;3,43;
034;010;202607;202607;MERVIV01;00;SENS;N;1420;0,0;0,05000;71,00;2,69;0,00;73,69;
034;010;202607;202607;MERVIV01;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;010;202607;202607;MERVIV01;00;SENS;N;5;0,0;0,05000;0,25;0,01;0,00;0,26;
034;010;202607;202607;MERVIV01;00;SENS;N;25;0,0;0,05000;1,25;0,05;0,00;1,30;
034;010;202607;202607;MERVIV01;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;010;202607;202607;MERVIV01;00;SENS;N;151;0,0;0,05000;7,55;0,29;0,00;7,84;
034;010;202607;202607;MERVIV01;00;SENS;R;6;0,0;0,05000;0,30;0,01;0,00;0,31;
034;010;202607;202607;MERVIV01;00;SENS;R;30;0,0;0,05000;1,50;0,06;0,00;1,56;
034;010;202607;202607;MERVIV01;00;SENS;R;631;0,0;0,05000;31,55;1,20;0,00;32,75;
034;010;202607;202607;MERVIV01;00;SENS;R;4;0,0;0,05000;0,20;0,01;0,00;0,21;
034;010;202607;202607;MERVIV01;00;SENS;R;3;0,0;0,05000;0,15;0,01;0,00;0,16;
034;010;202607;202607;MERVIV01;00;SENS;R;1;0,0;0,05000;0,05;0,00;0,00;0,05;
