Credora;Devedora;Período de referência;Período de tráfego;POI;Tipo;Descritor;GH;Quantidade de chamadas;Duração;Tarifa;Valor líquido;Pis/Cofins;ICMS;Valor Bruto;CN
L74;10;202607;202607;CLARO-85;0;LENL;N;2;1;0,00605;0,01;0;0;0,01;85
J07;10;202607;202607;CLARO-98;0;LENL;N;11;16,4;0,00605;0,1;0;0;0,1;98
J07;10;202607;202607;CLARO-98;0;LENL;R;1;10,6;0,00423;0,04;0;0;0,04;98
G13;10;202607;202607;EMBRATEL;0;LENL;N;2;1,5;0,00605;0,01;0;0;0,01;86
G13;10;202607;202607;OI-SIPI;0;LENL;N;198;733,56;0,00605;4,35;0,04;0;4,39;86
G13;10;202607;202607;OI-SIPI;0;LENL;R;4;21,8;0,00423;0,09;0;0;0,09;86
G13;10;202607;202607;TIM-89;0;LENL;N;2;4,3;0,00605;0,03;0;0;0,03;89
J07;10;202607;202607;TIM-99;0;LENL;N;13;13,1;0,00605;0,08;0;0;0,08;99
J07;10;202607;202607;TIM-99;0;LENL;R;5;15,2;0,00423;0,06;0;0;0,06;99
L74;10;202607;202607;VIVO-85;0;LENL;N;773;836,36;0,00605;5,06;0,05;0;5,11;85
L74;10;202607;202607;VIVO-85;0;LENL;R;14;9,8;0,00423;0,04;0;0;0,04;85
L74;10;202607;202607;VIVO-88;0;LENL;N;13;26,9;0,00605;0,16;0;0;0,16;88
L74;10;202607;202607;VIVO-88;0;LENL;R;2;2;0,00423;0,01;0;0;0,01;88
J07;10;202607;202607;VIVO-98;0;LENL;N;233;722,31;0,00605;4,37;0,04;0;4,41;98
J07;10;202607;202607;VIVO-98;0;LENL;R;51;137,2;0,00423;0,58;0,01;0;0,59;98
J07;10;202607;202607;VIVO-99;0;LENL;R;4;9,9;0,00423;0,04;0;0;0,04;99
L85;10;202607;202607;VIVO-SOC15;0;LENL;N;3962;10.191,74;0,00605;61,66;0,58;0;62,24;15
L85;10;202607;202607;VIVO-SOC15;0;LENL;R;259;418,44;0,00423;1,77;0,02;0;1,79;15
G13;10;202607;202607;VIVOTSA;0;LENL;N;1855;6.586,78;0,00605;39,85;0,38;0;40,23;86
G13;10;202607;202607;VIVOTSA;0;LENL;R;146;316,78;0,00423;1,34;0,01;0;1,35;86
L74;11;202607;202607;CLARO-88;0;GS8L;N;1;9,5;0,00605;0,06;0;0;0,06;88
G13;11;202607;202607;EMBRATEL;0;GS8L;N;40;152,07;0,00605;0,92;0,01;0;0,93;86
G13;11;202607;202607;OI-SIPI;0;GS8L;N;130;534,57;0,00605;3,17;0,03;0;3,2;86
