CREDORA;DEVEDORA;CICLO REFERÊNCIA;PERÍODO DE TRÁFEGO;POI;TIPO RELATÓRIO;REMUNERACAO;DESCRITOR;GH;CHAMADAS;DURAÇÃO;TARIFA;VALOR LÍQUIDO;PIS/COFINS;VALOR ICMS;TOTAL(R$);TOTAL_REAL (R$);OPERATION TYPE;EOT
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;1831;2088,6;0,00605;12,62;0,47;0;13,09;;F;232
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;20868;28291,7;0,01275;360,72;13,67;0;374,39;;F;051
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;2;2,8;0,01275;0,04;0;0;0,04;;M;901
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;9;9;0,00605;0,06;0;0;0,06;;F;281
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;1194;4792;0,01275;61,11;2,32;0;63,43;;F;035
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;63877;250272,4;0,00608;1521,65;57,65;0;1579,3;;F;065
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;279;290,6;0,00605;1,76;0,07;0;1,83;;F;091
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;1;0,5;0,00425;0;0;0;0;;F;802
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;2243;7170,3;0,00425;30,47;1,15;0;31,62;;F;067
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;89;110,7;0,00425;0,46;0,01;0;0,47;;F;241
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;32267;182570,3;0,00605;1104,56;41,83;0;1146,39;;F;086
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;23807;93237,3;0,01275;1188,78;45,02;0;1233,8;;F;083
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;21480;59789,7;0,00425;254,11;9,63;0;263,74;;F;265
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;82;272,1;0,00423;1,14;0,04;0;1,18;;F;232
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;2;14,2;0,00423;0,06;0;0;0,06;;F;298
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;3903;3477,7;0,01275;44,33;1,68;0;46,01;;F;091
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TNENI;N;16093;58251,6;0,01275;742,7;28,14;0;770,84;;F;071
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;33;52,5;0,00423;0,22;0,01;0;0,23;;F;298
