Credora;Devedora;Referencia;Trafego;POI;Rel;DESC;GH;Chamadas;Minutos;Tarifa;R$_Liq;PIS_Cofins;ICMS;R$_Bruto;CN_RELACIONAMENTO;CBS;IBS_Municipal;IBS_Estadual;EOT_Ponta;Corredor
034;200;202603;202602;4XCCUL4S;00;GS3V;N;000000000019;000000000009,5;0,01499;0000000000000,14;0000000000000,01;0000000000000,00;0000000000000,15;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202602;4XCCUL4S;00;GS3V;N;000000000066;000000000037,2;0,01503;0000000000000,56;0000000000000,02;0000000000000,00;0000000000000,58;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;034
348;200;202603;202602;01XACTM4;00;GS3V;N;000000000002;000000000001,0;0,0165;0000000000000,02;0000000000000,00;0000000000000,00;0000000000000,02;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
348;200;202603;202602;01XACTM4;00;GS3V;N;000000000003;000000000003,1;0,01686;0000000000000,05;0000000000000,00;0000000000000,00;0000000000000,05;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
034;200;202603;202603;1CLM014O;00;NSNV;N;000000000010;000000000005,0;0,01499;0000000000000,07;0000000000000,00;0000000000000,00;0000000000000,07;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;4FIICTPO;00;NSNV;N;000000015327;000000021181,4;0,01499;0000000000317,51;0000000000012,03;0000000000000,00;0000000000329,54;;0000000000002,86;0000000000000,00;0000000000000,00;000000000000032;034
034;200;202603;202603;4FIICTPO;00;NSNV;R;000000000759;000000003745,6;0,01049;0000000000039,29;0000000000001,49;0000000000000,00;0000000000040,78;;0000000000000,35;0000000000000,00;0000000000000,00;000000000000004;034
034;200;202603;202603;4XCCUL4S;00;GS3V;N;000000000067;000000000033,7;0,01499;0000000000000,51;0000000000000,02;0000000000000,00;0000000000000,53;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;4XCCUL4S;00;NSNV;N;000000242413;000000211496,8;0,01499;0000000003170,34;0000000000120,10;0000000000000,00;0000000003290,44;;0000000000028,53;0000000000000,00;0000000000000,00;000000000000317;034
034;200;202603;202603;4XCCUL4S;00;NSNV;R;000000005083;000000025035,1;0,01049;0000000000262,62;0000000000009,95;0000000000000,00;0000000000272,57;;0000000000002,36;0000000000000,00;0000000000000,00;000000000000026;034
034;200;202603;202603;4XCCUL5S;00;NSNV;N;000000001600;000000001461,2;0,01499;0000000000021,90;0000000000000,83;0000000000000,00;0000000000022,73;;0000000000000,20;0000000000000,00;0000000000000,00;000000000000002;034
034;200;202603;202603;4XCCUL5S;00;NSNV;R;000000000048;000000000061,0;0,01049;0000000000000,64;0000000000000,02;0000000000000,00;0000000000000,66;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;4XCLUL4S;00;NSNV;N;000000000082;000000000084,4;0,01499;0000000000001,27;0000000000000,05;0000000000000,00;0000000000001,32;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;4XCLUL4S;00;NSNV;R;000000000002;000000000037,8;0,01049;0000000000000,40;0000000000000,02;0000000000000,00;0000000000000,42;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;6CLM014O;00;NSNV;N;000000000019;000000000009,5;0,01499;0000000000000,14;0000000000000,01;0000000000000,00;0000000000000,15;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;6TIM025O;00;NSNV;N;000000000228;000000000184,8;0,01499;0000000000002,77;0000000000000,10;0000000000000,00;0000000000002,87;;0000000000000,02;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;6TIM025O;00;NSNV;R;000000000004;000000000012,2;0,01049;0000000000000,13;0000000000000,00;0000000000000,00;0000000000000,13;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;6TIM027O;00;NSNV;N;000000000185;000000000127,1;0,01499;0000000000001,91;0000000000000,07;0000000000000,00;0000000000001,98;;0000000000000,02;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;6TIM027O;00;NSNV;R;000000000004;000000000005,4;0,01049;0000000000000,06;0000000000000,00;0000000000000,00;0000000000000,06;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;8VLITIEB;00;NSNV;N;000000000012;000000000008,2;0,01499;0000000000000,12;0000000000000,00;0000000000000,00;0000000000000,12;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;8VLITIFB;00;NSNV;N;000000000008;000000000005,8;0,01499;0000000000000,09;0000000000000,00;0000000000000,00;0000000000000,09;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;8VLITIGB;00;NSNV;N;000000000012;000000000006,2;0,01499;0000000000000,09;0000000000000,00;0000000000000,00;0000000000000,09;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;8VLITIHB;00;NSNV;N;000000000013;000000000006,5;0,01499;0000000000000,10;0000000000000,00;0000000000000,00;0000000000000,10;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;8VLITIHB;00;NSNV;R;000000000001;000000000000,5;0,01049;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;9VSITIEB;00;NSNV;N;000000000012;000000000006,3;0,01499;0000000000000,09;0000000000000,00;0000000000000,00;0000000000000,09;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;9VSITIFB;00;NSNV;N;000000000015;000000000007,5;0,01499;0000000000000,11;0000000000000,00;0000000000000,00;0000000000000,11;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;9VSITIGB;00;NSNV;N;000000000011;000000000005,5;0,01499;0000000000000,08;0000000000000,00;0000000000000,00;0000000000000,08;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;9VSITIHB;00;NSNV;N;000000000013;000000000007,9;0,01499;0000000000000,12;0000000000000,00;0000000000000,00;0000000000000,12;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
034;200;202603;202603;9VSITIHB;00;NSNV;R;000000000001;000000000000,5;0,01049;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
325;200;202603;202603;6FCIATGB;00;NSNV;N;000000000063;000000000137,4;0,01779;0000000000002,44;0000000000000,09;0000000000000,00;0000000000002,53;;0000000000000,02;0000000000000,00;0000000000000,00;000000000000000;325
325;200;202603;202603;6FCIATGB;00;NSNV;R;000000000006;000000000037,3;0,01245;0000000000000,46;0000000000000,02;0000000000000,00;0000000000000,48;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;325
325;200;202603;202603;6FCIATHB;00;NSNV;N;000000000547;000000001290,7;0,01779;0000000000022,96;0000000000000,87;0000000000000,00;0000000000023,83;;0000000000000,21;0000000000000,00;0000000000000,00;000000000000002;325
325;200;202603;202603;6FCIATHB;00;NSNV;R;000000000113;000000000737,4;0,01245;0000000000009,18;0000000000000,35;0000000000000,00;0000000000009,53;;0000000000000,08;0000000000000,00;0000000000000,00;000000000000001;325
325;200;202603;202603;6FCICTGB;00;NSNV;N;000000002826;000000008495,4;0,01779;0000000000151,13;0000000000005,73;0000000000000,00;0000000000156,86;;0000000000001,36;0000000000000,00;0000000000000,00;000000000000015;325
325;200;202603;202603;6FCICTGB;00;NSNV;R;000000000223;000000001635,4;0,01245;0000000000020,36;0000000000000,77;0000000000000,00;0000000000021,13;;0000000000000,18;0000000000000,00;0000000000000,00;000000000000002;325
