EOT Credora;EOT Devedora;Periodo de Referencia;Periodo de Trafego;Ponto de Interconexao;Tipo Relatorio;Descritor de CDR;Grupo Horario;Chamadas;Duracao em Minutos;Tarifa Aplicavel;Valor Liquido;PIS/Cofins;Valor ICMS;Valor Bruto
B67;921;202607;202607;AGIL_SPO;0;GS8L;N;12;25,0;0,00610;0,15;0,01;0,00;0,16
B67;931;202607;202607;AGIL_SPO;0;GS8L;N;1;2,5;0,00610;0,02;0,00;0,00;0,02
B67;948;202607;202607;AGIL_SPO;0;GS8L;N;3;2,3;0,00610;0,01;0,00;0,00;0,01
B67;951;202607;202607;AGIL_SPO;0;GS8L;N;5;10,8;0,00610;0,07;0,00;0,00;0,07
B67;951;202607;202607;AGIL_SPO;0;GS8L;R;1;0,6;0,00427;0,00;0,00;0,00;0,00
B67;967;202607;202607;AGIL_SPO;0;GS8L;N;5;10,5;0,00610;0,06;0,00;0,00;0,07
B67;011;202607;202607;AGIL_SPO;0;GS3L;N;11;19,4;0,00610;0,12;0,00;0,00;0,12
B67;011;202607;202607;AGIL_SPO;0;GS8L;N;3411;16962,6;0,00610;103,47;3,92;0,00;107,39
B67;011;202607;202607;AGIL_SPO;0;GS8L;R;256;828,5;0,00427;3,54;0,13;0,00;3,67
B68;011;202607;202607;AGIL_SPO;0;GS8L;N;18;118,3;0,00610;0,72;0,03;0,00;0,75
