EOT Credora;EOT Devedora;Periodo de Referencia;Periodo de Trafego;Ponto de Interconexao;Tipo Relatorio;Descritor de CDR;Grupo Horario;Chamadas;Duracao em Minutos;Tarifa Aplicavel;Valor Liquido;PIS/Cofins;Valor ICMS;Valor Bruto
190;044;202607;202607;AMPMGC01;0;LENL;N;28570;58027,2;0,00608;352,81;13,37;0,00;366,18
190;044;202607;202607;AMPMGC01;0;LSAL;N;2;1,6;0,00608;0,01;0,00;0,00;0,01
190;044;202607;202607;AMPMGC01;0;LENL;R;1869;3715,6;0,00425;15,80;0,60;0,00;16,40
190;941;202607;202607;AMPMGC01;0;GS8L;N;376;2604,8;0,00608;15,84;0,60;0,00;16,44
190;941;202607;202607;AMPMGC01;0;NSNL;N;290;467,9;0,00608;2,84;0,11;0,00;2,95
190;941;202607;202607;AMPMGC01;0;NENL;N;22958;35.634,8;0,00608;216,66;8,21;0,00;224,87
190;941;202607;202607;AMPMGC01;0;GE8L;N;33;175,3;0,00608;1,07;0,04;0,00;1,11
190;941;202607;202607;AMPMGC01;0;NENL;R;324;2148,8;0,00425;9,13;0,35;0,00;9,48
190;941;202607;202607;AMPMGC01;0;NSNL;R;41;41,0;0,00425;0,17;0,01;0,00;0,18
190;941;202607;202607;AMPMGC01;0;GS8L;R;15;91,0;0,00425;0,39;0,01;0,00;0,40
