CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;CN
034;030;202607;202605;ULAN_1100;00;LENV;N;11;6,2;0,01499;0,09;0,00;0,00;0,09;34
034;030;202607;202605;ULAN_1100;00;LENV;N;762;382,9;0,01499;5,74;0,22;0,00;5,96;34
034;030;202607;202605;ULAN_1100;00;LENV;N;1;0,5;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202605;ULAN_1100;00;LENV;N;7;3,8;0,01499;0,06;0,00;0,00;0,06;34
034;030;202607;202606;ULAN_1100;00;LENV;N;43;23,9;0,01499;0,36;0,01;0,00;0,37;34
034;030;202607;202606;ULAN_1100;00;LENV;N;7336;4778,5;0,01499;71,63;2,71;0,00;74,34;34
034;030;202607;202606;ULAN_1100;00;LENV;N;14;7,1;0,01499;0,11;0,00;0,00;0,11;34
034;030;202607;202606;ULAN_1100;00;LENV;N;245;138,9;0,01499;2,08;0,08;0,00;2,16;34
034;030;202607;202606;ULAN_1100;00;LENV;R;1;0,5;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202606;ULAN_1100;00;LENV;R;41;22,6;0,01499;0,34;0,01;0,00;0,35;34
034;030;202607;202606;ULAN_1100;00;LENV;R;2;1,0;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202606;ULAN_1101;00;LENV;N;1;0,5;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202606;ULAN_1101;00;LENV;R;1;0,5;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202607;ULAN_1035;00;LSAV;N;1;0,5;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202607;ULAN_1040;00;LENV;N;1650;4068,7;0,01499;60,99;2,31;0,00;63,30;34
034;030;202607;202607;ULAN_1040;00;LENV;N;593564;1744396,8;0,01499;26148,51;990,57;0,00;27139,08;34
034;030;202607;202607;ULAN_1040;00;LENV;N;850;3262,4;0,01499;48,90;1,85;0,00;50,75;34
034;030;202607;202607;ULAN_1040;00;LENV;N;22979;62739,6;0,01499;940,47;35,63;0,00;976,10;34
034;030;202607;202607;ULAN_1040;00;LENV;N;1;0,5;0,01499;0,01;0,00;0,00;0,01;35
034;030;202607;202607;ULAN_1040;00;LENV;N;82;159,1;0,01499;2,38;0,09;0,00;2,47;34
034;030;202607;202607;ULAN_1040;00;LENV;N;17;28,2;0,01499;0,42;0,02;0,00;0,44;34
034;030;202607;202607;ULAN_1040;00;LENV;N;8;4,0;0,01499;0,06;0,00;0,00;0,06;34
034;030;202607;202607;ULAN_1040;00;LENV;N;1;0,6;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202607;ULAN_1040;00;LENV;R;213;800,9;0,01499;12,01;0,45;0,00;12,46;34
034;030;202607;202607;ULAN_1040;00;LENV;R;85701;378224,3;0,01499;5669,58;214,78;0,00;5884,36;34
034;030;202607;202607;ULAN_1040;00;LENV;R;125;1602,2;0,01499;24,02;0,91;0,00;24,93;34
034;030;202607;202607;ULAN_1040;00;LENV;R;2830;10336,5;0,01499;154,94;5,87;0,00;160,81;34
034;030;202607;202607;ULAN_1040;00;LENV;R;3;1,6;0,01499;0,02;0,00;0,00;0,02;34
034;030;202607;202607;ULAN_1040;00;LENV;R;1;0,5;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202607;ULAN_1040;00;LSAV;N;1;0,5;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202607;ULAN_1040;00;LSAV;N;671;1105,6;0,01499;16,57;0,63;0,00;17,20;34
034;030;202607;202607;ULAN_1040;00;LSAV;N;2;1,2;0,01499;0,02;0,00;0,00;0,02;34
034;030;202607;202607;ULAN_1040;00;LSAV;N;3;1,8;0,01499;0,03;0,00;0,00;0,03;34
034;030;202607;202607;ULAN_1040;00;LSAV;R;180;232,1;0,01499;3,48;0,13;0,00;3,61;34
034;030;202607;202607;ULAN_1041;00;LENV;N;18;26,5;0,01499;0,40;0,02;0,00;0,42;35
034;030;202607;202607;ULAN_1041;00;LENV;N;9985;33509,5;0,01499;502,31;19,03;0,00;521,34;35
034;030;202607;202607;ULAN_1041;00;LENV;N;1;0,5;0,01499;0,01;0,00;0,00;0,01;35
034;030;202607;202607;ULAN_1041;00;LENV;N;1430;3626,3;0,01499;54,36;2,06;0,00;56,42;35
034;030;202607;202607;ULAN_1041;00;LENV;N;6;6,9;0,01499;0,10;0,00;0,00;0,10;35
034;030;202607;202607;ULAN_1041;00;LENV;R;3;2,1;0,01499;0,03;0,00;0,00;0,03;35
034;030;202607;202607;ULAN_1041;00;LENV;R;1621;8274,5;0,01499;124,03;4,70;0,00;128,73;35
034;030;202607;202607;ULAN_1041;00;LENV;R;165;509,7;0,01499;7,64;0,29;0,00;7,93;35
034;030;202607;202607;ULAN_1041;00;LSAV;N;2;1,3;0,01499;0,02;0,00;0,00;0,02;35
034;030;202607;202607;ULAN_1042;00;LENV;N;5;2,5;0,01499;0,04;0,00;0,00;0,04;37
034;030;202607;202607;ULAN_1042;00;LSAV;N;139;367,7;0,01499;5,51;0,21;0,00;5,72;37
034;030;202607;202607;ULAN_1042;00;LSAV;R;40;229,2;0,01499;3,44;0,13;0,00;3,57;37
034;030;202607;202607;ULAN_1100;00;LENV;N;43;30,0;0,01499;0,45;0,02;0,00;0,47;34
034;030;202607;202607;ULAN_1100;00;LENV;N;11669;7379,1;0,01499;110,61;4,19;0,00;114,80;34
034;030;202607;202607;ULAN_1100;00;LENV;N;22;11,6;0,01499;0,17;0,01;0,00;0,18;34
034;030;202607;202607;ULAN_1100;00;LENV;N;334;213,4;0,01499;3,20;0,12;0,00;3,32;34
034;030;202607;202607;ULAN_1100;00;LENV;R;33;17,2;0,01499;0,26;0,01;0,00;0,27;34
034;030;202607;202607;ULAN_1101;00;LENV;N;1;0,5;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202607;ULAN_1101;00;LENV;N;6;3,3;0,01499;0,05;0,00;0,00;0,05;34
034;030;202607;202607;ULAN_1101;00;LENV;R;1;0,5;0,01499;0,01;0,00;0,00;0,01;34
034;030;202607;202607;ULAX_4721;00;LENV;N;89360;265827,5;0,01499;3984,75;150,95;0,00;4135,70;37
034;030;202607;202607;ULAX_4721;00;LENV;R;12382;53708,3;0,01499;805,09;30,50;0,00;835,59;37
034;030;202607;202607;ULAX_4728;00;LENV;N;90087;268649,3;0,01499;4027,05;152,56;0,00;4179,61;37
034;030;202607;202607;ULAX_4728;00;LENV;R;12498;52665,0;0,01499;789,45;29,91;0,00;819,36;37
034;030;202607;;;01;;;947199;2907396,90;;43581,90;1650,98;0,00;45232,88;;
325;010;202607;202607;FACX_0273;00;LENV;N;136;185,4;0,01779;3,30;0,12;0,00;3,42;17
325;010;202607;202607;FACX_0273;00;LENV;R;27;24,2;0,01779;0,43;0,02;0,00;0,45;17
325;010;202607;202607;FACX_4955;00;LENV;N;2257;5574,5;0,01779;99,17;3,76;0,00;102,93;17
325;010;202607;202607;FACX_4955;00;LENV;R;264;867,2;0,01779;15,43;0,58;0,00;16,01;17
325;010;202607;202607;FACX_5060;00;LENV;N;36421;97301,5;0,01779;1730,99;65,57;0,00;1796,56;16
325;010;202607;202607;FACX_5060;00;LENV;R;4985;18248,7;0,01779;324,64;12,30;0,00;336,94;16
325;010;202607;202607;ULAN_1039;00;LENV;N;152;304,9;0,01779;5,42;0,21;0,00;5,63;16
325;010;202607;202607;ULAN_1039;00;LENV;N;299;466,6;0,01779;8,30;0,31;0,00;8,61;16
325;010;202607;202607;ULAN_1039;00;LENV;R;21;45,7;0,01779;0,81;0,03;0,00;0,84;16
325;010;202607;202607;ULAN_1039;00;LENV;R;36;30,3;0,01779;0,54;0,02;0,00;0,56;16
325;010;202607;202607;ULAN_1039;00;LSAV;N;1;0,7;0,01779;0,01;0,00;0,00;0,01;16
325;010;202607;202607;ULAN_1039;00;LSAV;N;9;28,4;0,01779;0,51;0,02;0,00;0,53;16
325;010;202607;202607;ULAN_1039;00;LSAV;R;1;3,3;0,01779;0,06;0,00;0,00;0,06;16
325;010;202607;;;01;;;44609;123081,40;;2189,61;82,94;0,00;2272,55;;
348;068;202607;202607;ULAN_1043;00;LENV;N;8;29,0;0,01686;0,49;0,02;0,00;0,51;64
348;068;202607;202607;ULAN_1043;00;LENV;N;23;35,5;0,01686;0,60;0,02;0,00;0,62;64
348;068;202607;202607;ULAN_1043;00;LENV;N;5854;10256,9;0,01686;172,93;6,55;0,00;179,48;64
348;068;202607;202607;ULAN_1043;00;LENV;N;135;287,0;0,01686;4,84;0,18;0,00;5,02;64
348;068;202607;202607;ULAN_1043;00;LENV;N;22;11,0;0,01686;0,19;0,01;0,00;0,20;64
348;068;202607;202607;ULAN_1043;00;LENV;R;1;0,5;0,01686;0,01;0,00;0,00;0,01;64
348;068;202607;202607;ULAN_1043;00;LENV;R;683;1963,6;0,01686;33,11;1,25;0,00;34,36;64
348;068;202607;202607;ULAN_1043;00;LENV;R;23;109,1;0,01686;1,84;0,07;0,00;1,91;64
348;068;202607;;;01;;;6749;12692,60;;214,01;8,10;0,00;222,11;;
349;066;202607;202607;ULAX_5040;00;LENV;N;1383;2063,3;0,01686;34,79;1,32;0,00;36,11;67
349;066;202607;202607;ULAX_5040;00;LENV;R;106;292,8;0,01686;4,94;0,19;0,00;5,13;67
349;066;202607;;;01;;;1489;2356,10;;39,73;1,51;0,00;41,24;;
N07;010;202607;202607;FACX_5020;00;LENV;N;10;47,3;0,01779;0,84;0,03;0,00;0,87;14
N07;010;202607;202607;FACX_5020;00;LENV;R;3;18,6;0,01779;0,33;0,01;0,00;0,34;14
N07;010;202607;202607;SPOX_6685;00;LENV;N;171;570,7;0,01779;10,15;0,38;0,00;10,53;11
N07;010;202607;202607;SPOX_6685;00;LENV;R;27;33,0;0,01779;0,59;0,02;0,00;0,61;11
N07;010;202607;202607;SPO_10402;00;LENV;N;83;202,2;0,01779;3,60;0,14;0,00;3,74;19
N07;010;202607;202607;SPO_10402;00;LENV;R;7;6,8;0,01779;0,12;0,00;0,00;0,12;19
N07;010;202607;202607;SPO_10416;00;LENV;N;63;165,5;0,01779;2,94;0,11;0,00;3,05;19
N07;010;202607;202607;SPO_10416;00;LENV;R;4;2,2;0,01779;0,04;0,00;0,00;0,04;19
N07;010;202607;202607;SPO_10619;00;LENV;N;16;36,2;0,01779;0,64;0,02;0,00;0,66;12
