CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;VALOR_TOTAL_REAL;OPERATOR_TYPE;EOT_CREDORA
012;011;202607;202607;FACX_0069;00;2NENI;D;109;279,6;0,00787;2,20;0,08;0,00;2,28;0,00;F;143
012;011;202607;202607;FACX_0069;00;2NENI;N;60;117,9;0,00787;0,93;0,04;0,00;0,97;0,00;F;143
012;011;202607;202607;FACX_0069;00;2NENI;R;1;6,2;0,00787;0,05;0,00;0,00;0,05;0,00;F;143
012;011;202607;202607;FACX_0069;00;2NENI;S;1;1,9;0,00787;0,01;0,00;0,00;0,01;0,00;F;143
012;011;202607;202607;FACX_0127;00;2NENI;D;1435;4114,9;0,00787;32,38;1,23;0,00;33,61;0,00;F;025
012;011;202607;202607;FACX_0127;00;2NENI;D;4737;13103,2;0,00787;103,12;3,91;0,00;107,03;0,00;F;143
012;011;202607;202607;FACX_0127;00;2NENI;N;484;1599,0;0,00787;12,58;0,48;0,00;13,06;0,00;F;025
012;011;202607;202607;FACX_0127;00;2NENI;N;1730;4332,1;0,00787;34,09;1,29;0,00;35,38;0,00;F;143
012;011;202607;202607;FACX_0127;00;2NENI;R;99;1252,0;0,00787;9,85;0,37;0,00;10,22;0,00;F;025
012;011;202607;202607;FACX_0127;00;2NENI;R;147;260,0;0,00787;2,05;0,08;0,00;2,13;0,00;F;143
012;011;202607;202607;FACX_0127;00;2NENI;S;6;23,5;0,00787;0,18;0,01;0,00;0,19;0,00;F;143
012;011;202607;202607;FACX_0161;00;1NENI;D;1;0,5;0,00787;0,00;0,00;0,00;0,00;0,00;F;143
012;011;202607;202607;FACX_0161;00;2GS8I;D;1;0,5;0,00787;0,00;0,00;0,00;0,00;0,00;F;355
012;011;202607;202607;FACX_0161;00;2GS8I;N;1;1,3;0,00787;0,01;0,00;0,00;0,01;0,00;F;355
012;011;202607;202607;FACX_0161;00;2GS8I;R;3;2,9;0,00787;0,02;0,00;0,00;0,02;0,00;F;355
012;011;202607;202607;FACX_0161;00;2IENI;D;1;0,5;0,00787;0,00;0,00;0,00;0,00;0,00;F;143
012;011;202607;202607;FACX_0161;00;2NENI;D;137;260,5;0,00787;2,05;0,08;0,00;2,13;0,00;F;143
012;011;202607;202607;FACX_0161;00;2NENI;N;61;114,9;0,00787;0,90;0,03;0,00;0,93;0,00;F;143
012;011;202607;202607;FACX_0161;00;2NENI;S;3;5,3;0,00787;0,04;0,00;0,00;0,04;0,00;F;143
012;011;202607;202607;FACX_0165;00;2GS8I;D;5;15,1;0,00787;0,12;0,00;0,00;0,12;0,00;F;143
012;011;202607;202607;FACX_0165;00;2GS8I;N;1;2,9;0,00787;0,02;0,00;0,00;0,02;0,00;F;143
012;011;202607;202607;FACX_0165;00;2IENI;D;6;28,4;0,00787;0,22;0,01;0,00;0,23;0,00;F;143
012;011;202607;202607;FACX_0165;00;2NENI;D;74;323,5;0,00787;2,55;0,10;0,00;2,65;0,00;F;143
012;011;202607;202607;FACX_0165;00;2NENI;N;27;123,6;0,00787;0,97;0,04;0,00;1,01;0,00;F;143
012;011;202607;202607;FACX_0166;00;1NENI;D;2;1,0;0,00787;0,01;0,00;0,00;0,01;0,00;F;143
012;011;202607;202607;FACX_0166;00;2IENI;D;197;529,8;0,00787;4,17;0,16;0,00;4,33;0,00;F;143
012;011;202607;202607;FACX_0166;00;2IENI;N;79;183,3;0,00787;1,44;0,05;0,00;1,49;0,00;F;143
012;011;202607;202607;FACX_0166;00;2IENI;R;18;15,1;0,00787;0,12;0,00;0,00;0,12;0,00;F;143
012;011;202607;202607;FACX_0166;00;2IENI;S;2;2,8;0,00787;0,02;0,00;0,00;0,02;0,00;F;143
012;011;202607;202607;FACX_0166;00;2NENI;D;1800;3147,1;0,00787;24,77;0,94;0,00;25,71;0,00;F;143
012;011;202607;202607;FACX_0166;00;2NENI;N;674;1005,3;0,00787;7,91;0,30;0,00;8,21;0,00;F;143
012;011;202607;202607;FACX_0166;00;2NENI;R;38;76,2;0,00787;0,60;0,02;0,00;0,62;0,00;F;143
012;011;202607;202607;FACX_0166;00;2NENI;S;4;9,9;0,00787;0,08;0,00;0,00;0,08;0,00;F;143
012;011;202607;202607;FACX_0194;00;2NENI;D;3;6,1;0,00787;0,05;0,00;0,00;0,05;0,00;F;225
012;011;202607;202607;FACX_0194;00;2NENI;N;1;1,1;0,00787;0,01;0,00;0,00;0,01;0,00;F;225
