Credora;Devedora;Período de referência;Período de tráfego;POI;Tipo;Descritor;GH;Quantidade de chamadas;Duração;Tarifa;Valor líquido;Pis/Cofins;ICMS;Valor Bruto
E90;10;202607;202607;SP_CL26;0;LENL;R;1;4;0,00427;0,02;0;0;0,02
E90;10;202607;202607;SP11_CL12;0;LENL;N;5;5,6;0,0061;0,03;0;0,01;0,04
E90;10;202607;202607;SP11_CL26;0;LENL;N;16;20,7;0,0061;0,13;0;0,03;0,16
E90;10;202607;202607;SP11_CL14;0;LENL;N;8;38,5;0,0061;0,23;0,01;0,05;0,29
E90;10;202607;202607;VV_SP15A;0;LENL;R;55;58,1;0,00427;0,25;0,01;0,05;0,31
E90;10;202607;202607;SP_CL14;0;LENL;N;17;56,1;0,0061;0,34;0,01;0,08;0,43
E90;10;202607;202607;SP_CL26;0;LENL;N;39;59,3;0,0061;0,36;0,01;0,08;0,45
E90;10;202607;202607;SP11_CL24;0;LENL;N;30;68;0,0061;0,41;0,02;0,09;0,52
E90;10;202607;202607;SP19_CL14;0;LENL;N;43;124,4;0,0061;0,76;0,03;0,17;0,96
E90;10;202607;202607;SP_CL24;0;LENL;N;45;143,3;0,0061;0,87;0,03;0,19;1,09
E90;10;202607;202607;SP_CL12;0;LENL;N;29;155,74;0,0061;0,95;0,03;0,21;1,19
E90;10;202607;202607;SP19_CL12;0;LENL;N;47;165,57;0,0061;1,01;0,04;0,22;1,27
E90;10;202607;202607;VV_SP19A;0;LENL;R;351;566,74;0,00427;2,42;0,09;0,53;3,04
E90;10;202607;202607;SP_VV06;0;LENL;R;1312;3.004,68;0,00427;12,83;0,47;2,82;16,12
E90;10;202607;202607;SP_VV08;0;LENL;R;1320;3.166,28;0,00427;13,52;0,49;2,97;16,98
E90;10;202607;202607;VV_SP11A;0;LENL;R;1684;4.117,10;0,00427;17,58;0,64;3,86;22,08
E90;10;202607;202607;VV_SP15A;0;LENL;N;2048;4.634,43;0,0061;28,27;1,03;6,21;35,51
E90;10;202607;202607;VV_SP19A;0;LENL;N;11905;41.700,00;0,0061;254,37;9,28;55,84;319,49
E90;10;202607;202607;SP_VV06;0;LENL;N;25133;64.137,70;0,0061;391,24;14,27;85,88;491,39
E90;10;202607;202607;SP_VV08;0;LENL;N;25086;64.291,80;0,0061;392,18;14,31;86,09;492,58
E90;10;202607;202607;VV_SP11A;0;LENL;N;31134;87.836,07;0,0061;535,8;19,55;117,62;672,97
E90;20;202607;202607;SP_VV06;0;NENL;R;2;1,5;0,00427;0,01;0;0;0,01
E90;20;202607;202607;VV_SP15A;0;NENL;N;3;5,1;0,0061;0,03;0;0,01;0,04
E90;20;202607;202607;VV_SP19A;0;NENL;R;5;6,1;0,00427;0,03;0;0,01;0,04
E90;20;202607;202607;SP_VV06;0;NENL;N;31;47,2;0,0061;0,29;0,01;0,06;0,36
E90;20;202607;202607;VV_SP19A;0;NENL;N;27;53,2;0,0061;0,32;0,01;0,07;0,4
E90;20;202607;202607;SP_VV08;0;NENL;N;34;72,5;0,0061;0,44;0,02;0,1;0,56
E90;20;202607;202607;VV_SP11A;0;NENL;N;47;138,5;0,0061;0,84;0,03;0,19;1,06
E90;30;202607;202607;SP11_CL24;0;NENL;N;1;1,8;0,0061;0,01;0;0;0,01
E90;30;202607;202607;SP_CL26;0;NENL;N;1;2,2;0,0061;0,01;0;0;0,01
E90;30;202607;202607;SP_VV08;0;NENL;R;8;6;0,00427;0,03;0;0,01;0,04
E90;30;202607;202607;SP_CL24;0;NENL;N;1;5,8;0,0061;0,04;0;0,01;0,05
E90;30;202607;202607;SP_VV06;0;NENL;R;10;10,6;0,00427;0,05;0;0,01;0,06
E90;30;202607;202607;VV_SP11A;0;NENL;R;8;11,6;0,00427;0,05;0;0,01;0,06
E90;30;202607;202607;VV_SP15A;0;NENL;N;3;8,2;0,0061;0,05;0;0,01;0,06
E90;30;202607;202607;VV_SP19A;0;NENL;R;20;26,2;0,00427;0,11;0;0,02;0,13
E90;30;202607;202607;VV_SP11A;0;NENL;N;75;162,3;0,0061;0,99;0,04;0,22;1,25
E90;30;202607;202607;SP_VV06;0;NENL;N;68;175,41;0,0061;1,07;0,04;0,24;1,35
E90;30;202607;202607;SP_VV08;0;NENL;N;71;221,31;0,0061;1,35;0,05;0,3;1,7
E90;30;202607;202607;VV_SP19A;0;NENL;N;138;304,92;0,0061;1,86;0,07;0,41;2,34
E90;50;202607;202607;SP_VV06;0;NENL;R;2;2,2;0,00427;0,01;0;0;0,01
E90;50;202607;202607;VV_SP11A;0;NENL;R;1;1,4;0,00427;0,01;0;0;0,01
E90;50;202607;202607;VV_SP15A;0;NENL;R;2;5,2;0,00427;0,02;0;0;0,02
E90;50;202607;202607;VV_SP15A;0;NENL;N;2;10,7;0,0061;0,07;0;0,01;0,08
E90;50;202607;202607;SP_VV06;0;NENL;N;7;14,5;0,0061;0,09;0;0,02;0,11
E90;50;202607;202607;VV_SP19A;0;NENL;N;11;14;0,0061;0,09;0;0,02;0,11
E90;50;202607;202607;SP_VV08;0;NENL;N;17;16,2;0,0061;0,1;0;0,02;0,12
E90;50;202607;202607;VV_SP11A;0;NENL;N;27;54,8;0,0061;0,33;0,01;0,07;0,41
E90;60;202607;202607;VV_SP19A;0;NENL;N;2;2,4;0,0061;0,01;0;0;0,01
E90;60;202607;202607;SP_VV08;0;NENL;N;7;5,4;0,0061;0,03;0;0,01;0,04
E90;60;202607;202607;SP_VV06;0;NENL;N;9;10,3;0,0061;0,06;0;0,01;0,07
E90;60;202607;202607;VV_SP11A;0;NENL;N;13;47,7;0,0061;0,29;0,01;0,06;0,36
E90;70;202607;202607;SP_VV08;0;NENL;R;3;2,2;0,00427;0,01;0;0;0,01
E90;70;202607;202607;VV_SP19A;0;NENL;R;2;2;0,00427;0,01;0;0;0,01
E90;70;202607;202607;VV_SP11A;0;NENL;R;2;3,6;0,00427;0,02;0;0;0,02
E90;70;202607;202607;SP_VV06;0;NENL;N;25;39,7;0,0061;0,24;0,01;0,05;0,3
E90;70;202607;202607;VV_SP19A;0;NENL;N;14;53,1;0,0061;0,32;0,01;0,07;0,4
E90;70;202607;202607;SP_VV08;0;NENL;N;30;64;0,0061;0,39;0,01;0,09;0,49
E90;70;202607;202607;VV_SP11A;0;NENL;N;38;132,4;0,0061;0,81;0,03;0,18;1,02
E91;10;202607;202607;OI_RS51;0;NENL;R;1;1,4;0,00425;0,01;0;0;0,01
E91;10;202607;202607;OI_RS53;0;NENL;N;2;1,1;0,00608;0,01;0;0;0,01
E91;10;202607;202607;OI_RS53;0;NENL;R;3;3,4;0,00425;0,01;0;0;0,01
E91;10;202607;202607;OI_RS54;0;NENL;R;2;1,8;0,00425;0,01;0;0;0,01
E91;10;202607;202607;OI_RS55;0;NENL;N;1;1,3;0,00608;0,01;0;0;0,01
E91;10;202607;202607;RS54_OI01;0;NENL;N;2;2,4;0,00608;0,01;0;0;0,01
