eot_credora;eot_devedora;periodo_ref;periodo_traf;POI;RELATORIO_DEMONSTRADO;descritor;GRUPO_HORARIO;chamadas;minutos;tarifa;valor_liq;pis_confins;icms;total_c_imposto
178;452;202607;202607;TVN NACIONAL;00;LENL;N;1311;3450,1;0,00605;20,87;0,79;0;21,66
178;452;202607;202607;TVN NACIONAL;00;LENL;R;28;191,2;0,00423;0,81;0,03;0;0,84
501;078;202607;202607;TVN NACIONAL;00;LENL;N;8938;22964;0,00605;138,91;5,26;0;144,17
501;078;202607;202607;TVN NACIONAL;00;LENL;R;910;1877,8;0,00423;7,95;0,3;0;8,25
510;064;202607;202607;TVN NACIONAL;00;LENL;N;46498;101797,1;0,00608;618,93;23,44;0;642,37
510;064;202607;202607;TVN NACIONAL;00;LENL;R;3699;6782,6;0,00426;28,87;1,09;0;29,96
513;454;202607;202607;TVN NACIONAL;00;LENL;N;10154;25736,8;0,00605;155,69;5,9;0;161,59
513;454;202607;202607;TVN NACIONAL;00;LENL;R;465;1040,5;0,00423;4,41;0,17;0;4,58
516;070;202607;202607;TVN NACIONAL;00;LENL;N;127104;293503,9;0,00605;1775,44;67,24;0;1842,68
516;070;202607;202607;TVN NACIONAL;00;LENL;R;9715;19581,2;0,00423;82,93;3,14;0;86,07
563;033;202607;202607;TVN NACIONAL;00;LENL;N;21992;51318,4;0,00605;310,44;11,76;0;322,2
563;033;202607;202607;TVN NACIONAL;00;LENL;R;752;1270,7;0,00423;5,38;0,2;0;5,58
627;020;202607;202607;TVN NACIONAL;00;LENL;N;121903;383940,8;0,00605;2322,64;87,96;0;2410,6
627;020;202607;202607;TVN NACIONAL;00;LENL;R;8776;26411,3;0,00423;111,86;4,24;0;116,1
671;004;202607;202607;TVN NACIONAL;00;LENL;N;610;1067,3;0,00608;6,49;0,25;0;6,74
671;004;202607;202607;TVN NACIONAL;00;LENL;R;35;56,1;0,00426;0,24;0,01;0;0,25
679;457;202607;202607;TVN NACIONAL;00;LENL;N;18314;40616,7;0,00605;245,7;9,3;0;255
679;457;202607;202607;TVN NACIONAL;00;LENL;R;1799;4098,1;0,00423;17,36;0,66;0;18,02
756;039;202607;202607;TVN NACIONAL;00;LENL;N;18518;58456,4;0,00605;353,63;13,39;0;367,02
756;039;202607;202607;TVN NACIONAL;00;LENL;R;1503;4731;0,00423;20,04;0,76;0;20,8
757;050;202607;202607;TVN NACIONAL;00;LENL;N;500097;1097430,7;0,00608;6672,46;252,69;0;6925,15
757;050;202607;202607;TVN NACIONAL;00;LENL;R;38080;81059,8;0,00426;345;13,07;0;358,07
763;037;202607;202607;TVN NACIONAL;00;LENL;N;13444;41109,5;0,00605;248,69;9,42;0;258,11
763;037;202607;202607;TVN NACIONAL;00;LENL;R;987;4424,8;0,00423;18,74;0,71;0;19,45
764;044;202607;202607;TVN NACIONAL;00;LENL;N;4;6,3;0,00608;0,04;0;0;0,04
764;044;202607;202607;TVN NACIONAL;00;LENL;R;1;6,8;0,00426;0,03;0;0;0,03
764;045;202607;202607;TVN NACIONAL;00;LENL;N;100470;249295;0,00608;1515,72;57,4;0;1573,12
764;045;202607;202607;TVN NACIONAL;00;LENL;R;4878;11406,1;0,00426;48,55;1,84;0;50,39
765;044;202607;202607;TVN NACIONAL;00;LENL;N;129650;301849,2;0,00608;1835,26;69,5;0;1904,76
765;044;202607;202607;TVN NACIONAL;00;LENL;R;10666;28026,2;0,00426;119,28;4,52;0;123,8
766;010;202607;202607;TVN NACIONAL;00;LENL;N;742016;1937350,1;0,0061;11817,84;447,55;0;12265,39
766;010;202607;202607;TVN NACIONAL;00;LENL;R;76054;162331,7;0,00427;693,04;26,25;0;719,29
767;030;202607;202607;TVN NACIONAL;00;LENL;N;564633;1291862,1;0,00605;7814,72;295,95;0;8110,67
767;030;202607;202607;TVN NACIONAL;00;LENL;R;39014;77867,3;0,00423;329,78;12,49;0;342,27
779;456;202607;202607;TVN NACIONAL;00;LENL;N;3122;7019,8;0,00605;42,47;1,61;0;44,08
779;456;202607;202607;TVN NACIONAL;00;LENL;R;21;29,1;0,00423;0,12;0;0;0,12
E35;026;202607;202607;TVN NACIONAL;00;LENL;N;91130;218618,7;0,00605;1322,48;50,08;0;1372,56
E35;026;202607;202607;TVN NACIONAL;00;LENL;R;4444;9934;0,00423;42,07;1,59;0;43,66
N24;056;202607;202607;TVN NACIONAL;00;LENL;N;68;95,3;0,00608;0,58;0,02;0;0,6
N24;068;202607;202607;TVN NACIONAL;00;LENL;N;20424;42087,5;0,00608;255,89;9,69;0;265,58
N24;068;202607;202607;TVN NACIONAL;00;LENL;R;1239;2951,8;0,00426;12,56;0,48;0;13,04
N44;056;202607;202607;TVN NACIONAL;00;LENL;N;787;1131,3;0,00608;6,88;0,26;0;7,14
N44;056;202607;202607;TVN NACIONAL;00;LENL;R;23;26,9;0,00426;0,11;0;0;0,11
N51;453;202607;202607;TVN NACIONAL;00;LENL;N;1134;3499,8;0,00605;21,17;0,8;0;21,97
N51;453;202607;202607;TVN NACIONAL;00;LENL;R;94;254,4;0,00423;1,08;0,04;0;1,12
O78;455;202607;202607;TVN NACIONAL;00;LENL;N;14231;38805,5;0,00605;234,75;8,89;0;243,64
O78;455;202607;202607;TVN NACIONAL;00;LENL;R;1138;2763,2;0,00423;11,7;0,44;0;12,14
Q22;066;202607;202607;TVN NACIONAL;00;LENL;N;11276;24317,7;0,00608;147,85;5,6;0;153,45
Q22;066;202607;202607;TVN NACIONAL;00;LENL;R;687;1400;0,00426;5,96;0,23;0;6,19
