cd_eot_credora;cd_eot_devedora;dt_referencia;dt_trafego;poi;tipo_rel;descritor;grupo_horario;qt_chamadas;duracao_tarifada;vl_tarifa;vl_liquido;vl_cofins_pis;vl_icms;vl_bruto
913;921;202607;202607;5048_4326;0;NENL;N;8784;29.683,30;0,00605;179,61;6,8;0;186,41
913;921;202607;202607;5048_2105;0;GS8L;N;605;5.046,20;0,00605;30,53;1,16;0;31,69
913;921;202607;202607;5048_4132;0;NSNL;N;27;64,8;0,00605;0,39;0,01;0;0,4
913;921;202607;202607;5048_2105;0;GS3L;N;5;25,7;0,00605;0,16;0,01;0;0,17
913;921;202607;202607;5048_4132;0;NENL;N;69;59,1;0,00605;0,36;0,01;0;0,37
913;921;202607;202607;5048_4132;0;GS8L;N;4;3,3;0,00605;0,02;0;0;0,02
913;921;202607;202607;5048_2105;0;GS8L;R;15;227,9;0,00423;0,96;0,04;0;1
913;921;202607;202607;5048_4326;0;NENL;R;148;333,3;0,00423;1,41;0,05;0;1,46
913;921;202607;202607;5048_4132;0;NENL;R;3;2;0,00423;0,01;0;0;0,01
299;10;202607;202607;2500_0163;0;LENL;N;6217;30.964,80;0,0061;188,89;7,16;0;196,05
299;10;202607;202607;2500_0731;0;LENL;N;204;1.058,40;0,0061;6,46;0,24;0;6,7
299;10;202607;202607;2500_0731;0;LENL;R;13;12,2;0,00427;0,05;0;0;0,05
299;10;202607;202607;2500_0163;0;LENL;R;222;1.046,40;0,00427;4,47;0,17;0;4,64
913;20;202607;202607;5048_4425;0;LENL;N;85;175,3;0,00605;1,06;0,04;0;1,1
913;20;202607;202607;5048_6099;0;LENL;N;22;20;0,00605;0,12;0;0;0,12
913;20;202607;202607;5048_4326;0;LENL;N;50230;148.210,80;0,00605;896,81;33,97;0;930,78
913;20;202607;202607;5048_4132;0;LENL;N;3086;10.424,10;0,00605;63,07;2,39;0;65,46
913;20;202607;202607;5048_4326;0;LENL;R;1426;3.393,60;0,00423;14,36;0,54;0;14,9
913;20;202607;202607;5048_4132;0;LENL;R;340;2.631,10;0,00423;11,13;0,42;0;11,55
913;20;202607;202607;5048_6099;0;LENL;R;5;5;0,00423;0,02;0;0;0,02
299;11;202607;202607;2500_0163;0;GS8L;N;112;608,2;0,0061;3,71;0,14;0;3,85
299;11;202607;202607;2500_0163;0;NENL;N;27791;125.163,50;0,0061;763,5;28,92;0;792,42
299;11;202607;202607;2500_0163;0;NSNL;N;206;614,1;0,0061;3,75;0,14;0;3,89
299;11;202607;202607;2500_0163;0;GS8L;R;4;9;0,00427;0,04;0;0;0,04
299;11;202607;202607;2500_0163;0;NENL;R;1922;2.675,20;0,00427;11,43;0,43;0;11,86
