Credora;Devedora;Período de referência;Período de tráfego;POI;Tipo;Descritor;GH;Quantidade de chamadas;Duração;Tarifa;Valor líquido;Pis/Cofins;ICMS;Valor Bruto
E90;11;202607;202607;SP_VV08;0;GS3L;N;1;1,4;0,0061;0,01;0;0;0,01
E90;11;202607;202607;VV_SP19A;0;GS8L;N;2;4,5;0,0061;0,03;0;0,01;0,04
E90;11;202607;202607;VV_SP15A;0;NENL;R;23;14,9;0,00427;0,06;0;0,01;0,07
E90;11;202607;202607;SP_VV06;0;GS3L;N;4;31,2;0,0061;0,19;0,01;0,04;0,24
E90;11;202607;202607;SP_VV08;0;GS8L;R;39;88,6;0,00427;0,38;0,01;0,08;0,47
E90;11;202607;202607;SP_VV06;0;GS8L;R;38;104,7;0,00427;0,45;0,02;0,1;0,57
E90;11;202607;202607;VV_SP15A;0;GS8L;N;4;82;0,0061;0,5;0,02;0,11;0,63
E90;11;202607;202607;VV_SP19A;0;NENL;R;140;177,6;0,00427;0,76;0,03;0,17;0,96
E90;11;202607;202607;VV_SP11A;0;NENL;R;347;1.156,91;0,00427;4,94;0,18;1,08;6,2
E90;11;202607;202607;SP_VV08;0;NENL;R;330;1.208,43;0,00427;5,16;0,19;1,13;6,48
E90;11;202607;202607;SP_VV06;0;NENL;R;316;1.309,13;0,00427;5,59;0,2;1,23;7,02
E90;11;202607;202607;SP_VV08;0;GS8L;N;446;2.081,97;0,0061;12,7;0,46;2,79;15,95
E90;11;202607;202607;SP_VV06;0;GS8L;N;464;2.226,23;0,0061;13,58;0,5;2,98;17,06
E90;11;202607;202607;VV_SP15A;0;NENL;N;2601;3.296,72;0,0061;20,11;0,73;4,42;25,26
E90;11;202607;202607;VV_SP19A;0;NENL;N;2626;7.193,44;0,0061;43,88;1,6;9,63;55,11
E90;11;202607;202607;VV_SP11A;0;NENL;N;8429;23.685,25;0,0061;144,48;5,27;31,72;181,47
E90;11;202607;202607;SP_VV06;0;NENL;N;9905;27.701,64;0,0061;168,98;6,16;37,09;212,23
E90;11;202607;202607;SP_VV08;0;NENL;N;10658;27.734,43;0,0061;169,18;6,17;37,14;212,49
E91;11;202607;202607;RS_VV07;0;GS8L;N;2;2;0,00608;0,01;0;0;0,01
E91;11;202607;202607;OI_RS55;0;NENL;R;4;6,9;0,00425;0,03;0;0,01;0,04
E91;11;202607;202607;OI_RS54;0;NENL;N;6;6,4;0,00608;0,04;0;0,01;0,05
E91;11;202607;202607;OI_RS53;0;NENL;R;13;11,8;0,00425;0,05;0;0,01;0,06
E91;11;202607;202607;RS_VV09;0;GS8L;N;1;11,4;0,00608;0,07;0;0,02;0,09
E91;11;202607;202607;RS51_OI01;0;NENL;N;19;14,5;0,00608;0,09;0;0,02;0,11
E91;11;202607;202607;RS53_OI01;0;NENL;N;10;21,3;0,00608;0,13;0;0,03;0,16
E91;11;202607;202607;RS_VV09;0;NENL;R;49;43,8;0,00425;0,19;0,01;0,04;0,24
E91;11;202607;202607;RS_VV07;0;NENL;R;44;88,3;0,00425;0,38;0,01;0,08;0,47
E91;11;202607;202607;OI_RS51;0;NENL;N;123;88,8;0,00608;0,54;0,02;0,12;0,68
E91;11;202607;202607;RS55_OI01;0;NENL;N;28;93;0,00608;0,57;0,02;0,12;0,71
E91;11;202607;202607;OI_RS53;0;NENL;N;142;302,63;0,00608;1,84;0,07;0,4;2,31
E91;11;202607;202607;OI_RS55;0;NENL;N;241;460,53;0,00608;2,8;0,1;0,61;3,51
E91;11;202607;202607;RS51_OI01;0;GS8L;N;141;560,86;0,00608;3,41;0,12;0,75;4,28
E91;11;202607;202607;RS_OI01;0;GS8L;N;240;963,82;0,00608;5,86;0,21;1,29;7,36
E91;11;202607;202607;RS_VV09;0;NENL;N;1828;4.449,01;0,00608;27,05;0,99;5,94;33,98
E91;11;202607;202607;RS_VV07;0;NENL;N;1872;4.521,38;0,00608;27,49;1;6,04;34,53
E92;11;202607;202607;MG31_OI01;0;NENL;R;1;3;0,00423;0,01;0;0;0,01
E92;11;202607;202607;MG34_OI01;0;NENL;R;2;1,6;0,00423;0,01;0;0;0,01
E92;11;202607;202607;OI_MG33;0;NENL;R;1;4,3;0,00423;0,02;0;0;0,02
E92;11;202607;202607;MG_OI01;0;GS8L;R;3;8,2;0,00423;0,03;0;0,01;0,04
E92;11;202607;202607;OI_MG38;0;GS8L;N;1;5,3;0,00605;0,03;0;0,01;0,04
E92;11;202607;202607;MG_VV09;0;GS8L;R;18;20,7;0,00423;0,09;0;0,02;0,11
E92;11;202607;202607;MG37_OI01;0;NENL;N;10;17,3;0,00605;0,1;0;0,02;0,12
E92;11;202607;202607;OI_MG31;0;NENL;R;20;39,1;0,00423;0,17;0,01;0,04;0,22
E92;11;202607;202607;MG35_OI01;0;NENL;R;13;55;0,00423;0,23;0,01;0,05;0,29
E92;11;202607;202607;MG_VV07;0;GS3L;N;6;38;0,00605;0,23;0,01;0,05;0,29
