Credora;Devedora;Referencia;Trafego;POI;Rel;Descritor;Grupo Horario;Chamadas;Minutos;Tarifa;Valor Liquido;PIS/COFINS;ICMS;Valor Bruto
977;951;202607;202607;ADYL - CSL;00;GS8L;N;163;898,1;0,00608;5,46;0,21;0;5,67
977;931;202607;202607;ADYL - CSL;00;GS8L;N;2;19,4;0,00608;0,12;0,00;0;0,12
977;961;202607;202607;ADYL - CSL;00;GS8L;N;6;63,7;0,00608;0,39;0,01;0;0,40
977;948;202607;202607;ADYL - CSL;00;GS8L;N;10;86,1;0,00608;0,52;0,02;0;0,54
977;981;202607;202607;ADYL - CSL;00;GS8L;N;4;39,7;0,00608;0,24;0,01;0;0,25
977;941;202607;202607;ADYL - CSL;00;GS8L;N;18;53,5;0,00608;0,33;0,01;0;0,34
977;927;202607;202607;ADYL - CSL;00;GS8L;N;1;6,6;0,00608;0,04;0,00;0;0,04
977;921;202607;202607;ADYL - CSL;00;GS8L;N;5;33,9;0,00608;0,21;0,00;0;0,21
977;953;202607;202607;ADYL - CSL;00;GS8L;N;2;9,6;0,00608;0,06;0,00;0;0,06
977;951;202607;202607;ADYL - CSL;00;GS8L;R;10;18,6;0,00425;0,08;0,00;0;0,08
977;951;202607;202607;ADYL - CSL;00;NENL;N;30223;87720,3;0,00608;533,34;20,20;0;553,54
977;951;202607;202607;ADYL - CSL;00;NENL;R;1232;5362,5;0,00425;22,79;0,86;0;23,65
977;951;202607;202607;ADYL - CSL;00;NSNL;N;581;2252,0;0,00608;13,69;0,52;0;14,21
977;951;202607;202607;ADYL - CSL;00;NSNL;R;5;71,3;0,00425;0,30;0,01;0;0,31
977;951;202607;202607;ADYL - PAE - Local;00;NENL;N;478;1983,7;0,00608;12,06;0,46;0;12,52
977;951;202607;202607;ADYL - PAE - Local;00;NENL;R;1;2,4;0,00425;0,01;0,00;0;0,01
977;951;202607;202607;ADYL - PAE - Local;00;NSNL;N;32;100,9;0,00608;0,61;0,03;0;0,64
977;951;202607;202607;ADYL - PAE - Local;00;NSNL;R;9;9,3;0,00425;0,04;0,00;0;0,04
977;951;202607;202607;CSL-RS;00;GS8L;N;2;6,2;0,00608;0,04;0,00;0;0,04
977;948;202607;202607;CSL-RS;00;GS8L;N;1;3,1;0,00608;0,02;0,00;0;0,02
977;951;202607;202607;CSL-RS;00;NENL;N;1739;5893,6;0,00608;35,83;1,36;0;37,19
977;951;202607;202607;CSL-RS;00;NENL;R;91;709,7;0,00425;3,02;0,11;0;3,13
;;;;;01;;;34615;105344,2;;629,20;23,81;0;653,01
