CODIGO DA PRESTADOR CREDORA;CODIGO DA PRESTADORA DEVEDORA;PERIODO DE REFERENCIA;PERIODO DE TRAFEGO;PONTO DE INTERCONEXAO;TIPO RELATORIO DEMONSTRADO;DESCRITOR DE CDR;GRUPO HORARIO;   QUANTIDADE DE CHAMADAS   ;         DURACAO EM MINUTOS         ;   TARIFA APLICAVEL   ;        VALOR LIQUIDO              ;      VALOR COFINS E PIS/PASEP           ; VALOR ICMS ;        VALOR BRUTO              
197;200;202607;202607;BRT_47LD2E;00;NENL;N;7844;16660,7;0,00608;101,29;3,83;0;105,12
197;200;202607;202607;BRT_47LD2E;00;NENL;R;351;1171;0,00425;4,97;0,18;0;5,15
197;200;202607;202607;BRT_49LD2E;00;NENL;N;6569;14340,5;0,00608;87,19;3,3;0;90,49
197;200;202607;202607;BRT_49LD2E;00;NENL;R;162;820,8;0,00425;3,48;0,13;0;3,61
197;200;202607;202607;BRT_48LD2E;00;NENL;N;1;1,1;0,00608;0;0;0;0
199;200;202607;202606;BRT_42LD2E;00;NENL;N;1420;3158,6;0,00608;19,2;0,72;0;19,92
199;200;202607;202606;BRT_42LD2E;00;NENL;R;57;268,1;0,00425;1,13;0,04;0;1,17
199;200;202607;202606;BRT_41LD2E;00;NENL;N;18;25,7;0,00608;0,15;0;0;0,15
199;200;202607;202607;BRT_42LD2E;00;NENL;N;1607;3817,2;0,00608;23,2;0,87;0;24,07
199;200;202607;202607;BRT_42LD2E;00;NENL;R;42;269,9;0,00425;1,14;0,04;0;1,18
199;200;202607;202607;BRT_41LD2E;00;NENL;N;17;44,9;0,00608;0,27;0,01;0;0,28
197;948;202607;202607;BRT_49LD2S;00;GS8L;N;75;1053,5;0,00608;6,4;0,24;0;6,64
197;948;202607;202607;BRT_49LD2S;00;GS3L;N;1;2;0,00608;0,01;0;0;0,01
197;948;202607;202607;BRT_47LD2S;00;GS8L;N;40;210,9;0,00608;1,28;0,04;0;1,32
197;948;202607;202607;BRT_47LD2S;00;GS8L;R;1;4,3;0,00425;0,01;0;0;0,01
199;948;202607;202607;BRT_46TR3S;00;GS8L;N;51;353,3;0,00608;2,14;0,08;0;2,22
199;948;202607;202607;BRT_41LD2S;00;GS8L;N;34;210,4;0,00608;1,27;0,04;0;1,31
;;;;;;;;18290;42412,9;;;;;262,65
