Credora;Devedora;Referencia;Trafego;POI;Rel;DESC;GH;Chamadas;Minutos;Tarifa;R$_Liq;PIS_Cofins;ICMS;R$_Bruto;CN_RELACIONAMENTO;CBS;IBS_Municipal;IBS_Estadual;EOT_Ponta;Corredor
012;011;202603;202602;6CTB017I;00;NEN4;N;000000000032;000000000122,8;0,00604;0000000000000,74;0000000000000,03;0000000000000,00;0000000000000,77;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;6CTB017I;00;NEN4;N;000000000004;000000000008,5;0,0061;0000000000000,05;0000000000000,00;0000000000000,00;0000000000000,05;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;6CTB017I;00;NEN5;D;000000000031;000000000122,5;0,0078;0000000000000,96;0000000000000,04;0000000000000,00;0000000000001,00;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;6CTB017I;00;NEN5;N;000000000005;000000000008,8;0,0078;0000000000000,07;0000000000000,00;0000000000000,00;0000000000000,07;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;7CTB017I;00;NEN4;N;000000000030;000000000099,9;0,00604;0000000000000,60;0000000000000,02;0000000000000,00;0000000000000,62;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;7CTB017I;00;NEN4;N;000000000004;000000000006,2;0,0061;0000000000000,04;0000000000000,00;0000000000000,00;0000000000000,04;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;7CTB017I;00;NEN5;D;000000000027;000000000094,5;0,0078;0000000000000,74;0000000000000,03;0000000000000,00;0000000000000,77;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;7CTB017I;00;NEN5;N;000000000007;000000000011,6;0,0078;0000000000000,09;0000000000000,00;0000000000000,00;0000000000000,09;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;MB301157;00;NEN4;N;000000000003;000000000019,0;0,00604;0000000000000,11;0000000000000,00;0000000000000,00;0000000000000,11;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;MB301157;00;NEN5;D;000000000003;000000000019,0;0,0078;0000000000000,15;0000000000000,01;0000000000000,00;0000000000000,16;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;MB303359;00;NEN4;N;000000000001;000000000001,9;0,00604;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;MB303359;00;NEN5;D;000000000001;000000000001,9;0,0078;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;S1001475;00;NEN4;N;000000000001;000000000007,9;0,00604;0000000000000,05;0000000000000,00;0000000000000,00;0000000000000,05;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;S1001475;00;NEN5;D;000000000001;000000000007,9;0,0078;0000000000000,06;0000000000000,00;0000000000000,00;0000000000000,06;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;S1001597;00;NEN4;N;000000000002;000000000025,3;0,00604;0000000000000,15;0000000000000,01;0000000000000,00;0000000000000,16;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;S1001597;00;NEN5;D;000000000002;000000000025,3;0,0078;0000000000000,20;0000000000000,01;0000000000000,00;0000000000000,21;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;VM300597;00;NEN4;N;000000000001;000000000001,7;0,00604;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;VM300597;00;NEN4;R;000000000001;000000000000,5;0,00427;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;VM300597;00;NEN5;D;000000000001;000000000001,7;0,0078;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;VM300597;00;NEN5;R;000000000001;000000000000,5;0,0078;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;VM303359;00;NEN4;N;000000000001;000000000014,4;0,00604;0000000000000,09;0000000000000,00;0000000000000,00;0000000000000,09;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202602;VM303359;00;NEN5;D;000000000001;000000000014,4;0,0078;0000000000000,11;0000000000000,00;0000000000000,00;0000000000000,11;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;143
012;011;202603;202603;1ALG005I;00;NEN4;N;000000000050;000000000101,1;0,00605;0000000000000,61;0000000000000,02;0000000000000,00;0000000000000,63;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1ALG005I;00;NEN5;D;000000000033;000000000073,9;0,00787;0000000000000,58;0000000000000,02;0000000000000,00;0000000000000,60;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1ALG005I;00;NEN5;N;000000000017;000000000027,2;0,00787;0000000000000,21;0000000000000,01;0000000000000,00;0000000000000,22;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB008I;00;NEN4;N;000000000186;000000000592,3;0,00605;0000000000003,58;0000000000000,14;0000000000000,00;0000000000003,72;;0000000000000,03;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB008I;00;NEN4;R;000000000002;000000000001,2;0,00423;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB008I;00;NEN5;D;000000000140;000000000479,7;0,00787;0000000000003,78;0000000000000,14;0000000000000,00;0000000000003,92;;0000000000000,03;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB008I;00;NEN5;N;000000000049;000000000112,6;0,00787;0000000000000,89;0000000000000,03;0000000000000,00;0000000000000,92;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB008I;00;NEN5;R;000000000002;000000000001,2;0,00787;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB020I;00;NEN4;N;000000000077;000000000233,7;0,00605;0000000000001,41;0000000000000,05;0000000000000,00;0000000000001,46;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB020I;00;NEN4;R;000000000001;000000000000,5;0,00423;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB020I;00;NEN5;D;000000000052;000000000142,4;0,00787;0000000000001,12;0000000000000,04;0000000000000,00;0000000000001,16;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB020I;00;NEN5;N;000000000027;000000000091,3;0,00787;0000000000000,72;0000000000000,03;0000000000000,00;0000000000000,75;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB020I;00;NEN5;R;000000000001;000000000000,5;0,00787;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB026I;00;NEN4;N;000000000047;000000000337,9;0,00605;0000000000002,04;0000000000000,08;0000000000000,00;0000000000002,12;;0000000000000,02;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB026I;00;NEN4;R;000000000002;000000000002,8;0,00423;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB026I;00;NEN5;D;000000000036;000000000287,4;0,00787;0000000000002,26;0000000000000,09;0000000000000,00;0000000000002,35;;0000000000000,02;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB026I;00;NEN5;N;000000000011;000000000050,5;0,00787;0000000000000,40;0000000000000,02;0000000000000,00;0000000000000,42;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB026I;00;NEN5;R;000000000002;000000000002,8;0,00787;0000000000000,02;0000000000000,00;0000000000000,00;0000000000000,02;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB032I;00;NEN4;N;000000000063;000000000255,5;0,00605;0000000000001,55;0000000000000,06;0000000000000,00;0000000000001,61;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB032I;00;NEN5;D;000000000043;000000000197,8;0,00787;0000000000001,56;0000000000000,06;0000000000000,00;0000000000001,62;;0000000000000,01;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB032I;00;NEN5;N;000000000022;000000000057,7;0,00787;0000000000000,45;0000000000000,02;0000000000000,00;0000000000000,47;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB033I;00;NEN4;N;000000000001;000000000000,7;0,00605;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;1CTB033I;00;NEN5;N;000000000001;000000000000,7;0,00787;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;355
012;011;202603;202603;4FACTR4O;00;NSN4;N;000000000010;000000000005,6;0,00608;0000000000000,03;0000000000000,00;0000000000000,00;0000000000000,03;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;757
012;011;202603;202603;4FACTR4O;00;NSN4;N;000000000003;000000000006,8;0,00608;0000000000000,04;0000000000000,00;0000000000000,00;0000000000000,04;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;953
012;011;202603;202603;4FACTR4O;00;NSN5;D;000000000002;000000000001,0;0,00787;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
012;011;202603;202603;4FACTR4O;00;NSN5;D;000000000026;000000000018,3;0,00787;0000000000000,14;0000000000000,01;0000000000000,00;0000000000000,15;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
012;011;202603;202603;4FACTR4O;00;NSN5;D;000000000009;000000000005,1;0,00787;0000000000000,04;0000000000000,00;0000000000000,00;0000000000000,04;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;757
012;011;202603;202603;4FACTR4O;00;NSN5;D;000000000001;000000000002,4;0,00787;0000000000000,02;0000000000000,00;0000000000000,00;0000000000000,02;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;953
012;011;202603;202603;4FACTR4O;00;NSN5;N;000000000013;000000000010,6;0,00787;0000000000000,08;0000000000000,00;0000000000000,00;0000000000000,08;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
012;011;202603;202603;4FACTR4O;00;NSN5;N;000000000001;000000000000,5;0,00787;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;757
012;011;202603;202603;4FACTR4O;00;NSN5;N;000000000002;000000000004,4;0,00787;0000000000000,03;0000000000000,00;0000000000000,00;0000000000000,03;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;953
012;011;202603;202603;4FACTR4O;00;NSN5;R;000000000001;000000000000,5;0,00787;0000000000000,00;0000000000000,00;0000000000000,00;0000000000000,00;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
012;011;202603;202603;4FACTR4O;00;NSN8;N;000000000002;000000000001,0;0,01499;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;034
012;011;202603;202603;4FACTR4O;00;NSN8;N;000000000039;000000000028,9;0,01686;0000000000000,49;0000000000000,02;0000000000000,00;0000000000000,51;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
012;011;202603;202603;4FACTR4O;00;NSN8;R;000000000001;000000000000,5;0,0118;0000000000000,01;0000000000000,00;0000000000000,00;0000000000000,01;;0000000000000,00;0000000000000,00;0000000000000,00;000000000000000;348
