CODIGO DA PRESTADOR CREDORA;CODIGO DA PRESTADORA DEVEDORA;PERIODO DE REFERENCIA;PERIODO DE TRAFEGO;PONTO DE INTERCONEXAO;TIPO RELATORIO DEMONSTRADO;DESCRITOR DE CDR;GRUPO HORARIO;   QUANTIDADE DE CHAMADAS   ;         DURACAO EM MINUTOS         ;   TARIFA APLICAVEL   ;        VALOR LIQUIDO              ;      VALOR COFINS E PIS/PASEP           ; VALOR ICMS ;        VALOR BRUTO              
197;45;202607;202607;BRT_47LC1E;00;LENL;N;5015;11460,1;0,00608;69,67;2,63;0;72,3
197;45;202607;202607;BRT_47LC1E;00;LENL;R;416;947,7;0,00425;4,02;0,15;0;4,17
197;45;202607;202607;BRT_49LC1E;00;LENL;N;10374;20953,2;0,00608;127,39;4,82;0;132,21
197;45;202607;202607;BRT_49LC1E;00;LENL;R;863;1826,7;0,00425;7,76;0,29;0;8,05
197;45;202607;202607;TIM_47UN0E;00;LENL;N;4;4,9;0,00608;0,02;0;0;0,02
197;45;202607;202607;BNU UMG AB;00;LENL;N;4;3,3;0,00608;0,02;0;0;0,02
197;45;202607;202607;FNS UMG PO;00;LENL;N;35;62;0,00608;0,37;0,01;0;0,38
197;45;202607;202607;FNS UMG PO;00;LENL;R;3;3,2;0,00425;0,01;0;0;0,01
199;44;202607;202607;EBT_C42_UE;00;LENL;N;6;10,3;0,00608;0,06;0;0;0,06
;;;;;;;;16720;35271,4;;;;;217,22
