2026-08-10 14:17:34.288 | INFO    |__main__:<module>:133 - [RPA 4] robô: rpa4_retificacao
2026-08-10 14:17:34.289 | INFO    |__main__:<module>:133 - [RPA 4] modo: DEV  (de ENV)
2026-08-10 14:17:34.289 | INFO    |__main__:<module>:133 - [RPA 4] log: nível INFO (de LOG_LEVEL), diagnose ligado
2026-08-10 14:17:34.289 | INFO    |__main__:<module>:133 - [RPA 4] competência: 202606  (forçada por COMPETENCIA)
2026-08-10 14:17:34.289 | INFO    |__main__:<module>:133 - [RPA 4] banco: SQLite [C:\Users\btime\Desktop\Projetos\detraf unificado\DETRAF-UNIFICADO\unificado\banco_de_dados\TABELAS_DETRAF_espelho.db] (de CAMINHO_SQLITE)
2026-08-10 14:17:34.289 | INFO    |__main__:<module>:133 - [RPA 4] AGI: ambiente [producao] host [10.238.6.120] (de AGI_AMBIENTE) | executável [C:\Users\btime\Desktop\Projetos\detraf unificado\DETRAF-UNIFICADO\unificado\aplicacao_agi\Portal AIR\portal_air_vivo.exe]
2026-08-10 14:17:34.289 | INFO    |__main__:<module>:133 - [RPA 4] EFEITOS EXTERNOS -> e-mail: desligado | upload AGI: desligado | acesso AGI: desligado | e-mail à operadora (RPA 1): desligado
2026-08-10 14:17:34.289 | INFO    |__main__:<module>:133 - [RPA 4] parâmetros: referência forçada: 202606; DRY-RUN: todos os efeitos externos desligados
2026-08-10 14:17:35.223 | INFO    |comum.dados.repositorio_cache:__init__:77 - Inicializando conexão com o banco no ambiente [dev]
2026-08-10 14:17:35.224 | INFO    |comum.dados.repositorio_cache:__init__:77 - Utilizando SQLite local [C:\Users\btime\Desktop\Projetos\detraf unificado\DETRAF-UNIFICADO\unificado\banco_de_dados\TABELAS_DETRAF_espelho.db]
2026-08-10 14:17:35.766 | INFO    |__main__:main:106 - [STEP] Iniciando: run
2026-08-10 14:17:35.766 | INFO    |src.main.process_handle:run:18 - [STEP] Iniciando: RetificacaoController.retificar
2026-08-10 14:17:35.767 | INFO    |src.controllers.retificacao_controller:retificar:50 - [HU-21] Processando 202606: procuro recuperações na contestação de 202605.
2026-08-10 14:17:35.767 | INFO    |comum.dados.repositorio_cache:obter_tabela:214 - Carregando tabela [tbl_rpa_log_detraf_despesa_contestacao]
2026-08-10 14:17:35.781 | INFO    |comum.dados.repositorio_cache:obter_tabela:214 - Tabela [tbl_rpa_log_detraf_despesa_contestacao] carregada | Linhas: 36 | Colunas: 19
2026-08-10 14:17:35.790 | INFO    |src.services.deteccao_recuperacao:detectar:85 - [HU-21] Nenhum tráfego recuperado em 202605.
2026-08-10 14:17:35.790 | INFO    |comum.utils.decoradores:wrapper:22 - [RPA 4] Nada a retificar. Num mês sem recuperação este é o resultado certo, e não uma falha.
2026-08-10 14:17:35.790 | INFO    |src.main.process_handle:run:18 - [STEP] Finalizando: RetificacaoController.retificar | Tempo gasto: 0.02s
2026-08-10 14:17:35.790 | INFO    |__main__:main:106 - [STEP] Finalizando: run | Tempo gasto: 0.02s
2026-08-10 14:17:35.791 | INFO    |__main__:main:118 - [Diagnóstico] Etapas desta execução em [C:\Users\btime\Desktop\Projetos\detraf unificado\DETRAF-UNIFICADO\unificado\logs\LAPTOP-IKOLPRTI\rpa4_retificacao\diagnosticos\2026-08-10_14-17-34.txt].
2026-08-10 14:17:35.792 | INFO    |__main__:<module>:133 - [RPA 4] Diagnóstico das etapas em [C:\Users\btime\Desktop\Projetos\detraf unificado\DETRAF-UNIFICADO\unificado\logs\LAPTOP-IKOLPRTI\rpa4_retificacao\diagnosticos\2026-08-10_14-17-34.txt]
2026-08-10 14:17:43.987 | INFO    |__main__:<module>:133 - [RPA 4] robô: rpa4_retificacao
2026-08-10 14:17:43.987 | INFO    |__main__:<module>:133 - [RPA 4] modo: DEV  (de ENV)
2026-08-10 14:17:43.988 | INFO    |__main__:<module>:133 - [RPA 4] log: nível INFO (de LOG_LEVEL), diagnose ligado
2026-08-10 14:17:43.988 | INFO    |__main__:<module>:133 - [RPA 4] competência: 202604  (forçada por COMPETENCIA)
2026-08-10 14:17:43.988 | INFO    |__main__:<module>:133 - [RPA 4] banco: SQLite [C:\Users\btime\Desktop\Projetos\detraf unificado\DETRAF-UNIFICADO\unificado\banco_de_dados\TABELAS_DETRAF_espelho.db] (de CAMINHO_SQLITE)
2026-08-10 14:17:43.988 | INFO    |__main__:<module>:133 - [RPA 4] AGI: ambiente [producao] host [10.238.6.120] (de AGI_AMBIENTE) | executável [C:\Users\btime\Desktop\Projetos\detraf unificado\DETRAF-UNIFICADO\unificado\aplicacao_agi\Portal AIR\portal_air_vivo.exe]
2026-08-10 14:17:43.988 | INFO    |__main__:<module>:133 - [RPA 4] EFEITOS EXTERNOS -> e-mail: desligado | upload AGI: desligado | acesso AGI: desligado | e-mail à operadora (RPA 1): desligado
2026-08-10 14:17:43.988 | INFO    |__main__:<module>:133 - [RPA 4] parâmetros: referência forçada: 202604; DRY-RUN: todos os efeitos externos desligados
2026-08-10 14:17:44.387 | INFO    |comum.dados.repositorio_cache:__init__:77 - Inicializando conexão com o banco no ambiente [dev]
2026-08-10 14:17:44.387 | INFO    |comum.dados.repositorio_cache:__init__:77 - Utilizando SQLite local [C:\Users\btime\Desktop\Projetos\detraf unificado\DETRAF-UNIFICADO\unificado\banco_de_dados\TABELAS_DETRAF_espelho.db]
2026-08-10 14:17:44.643 | INFO    |__main__:main:106 - [STEP] Iniciando: run
2026-08-10 14:17:44.643 | INFO    |src.main.process_handle:run:18 - [STEP] Iniciando: RetificacaoController.retificar
2026-08-10 14:17:44.643 | INFO    |src.controllers.retificacao_controller:retificar:50 - [HU-21] Processando 202604: procuro recuperações na contestação de 202603.
2026-08-10 14:17:44.643 | INFO    |comum.dados.repositorio_cache:obter_tabela:214 - Carregando tabela [tbl_rpa_log_detraf_despesa_contestacao]
2026-08-10 14:17:44.646 | INFO    |comum.dados.repositorio_cache:obter_tabela:214 - Tabela [tbl_rpa_log_detraf_despesa_contestacao] carregada | Linhas: 36 | Colunas: 19
2026-08-10 14:17:44.651 | INFO    |src.services.deteccao_recuperacao:detectar:85 - [HU-21] 32 linha(s) com tráfego recuperado em 202603.
2026-08-10 14:17:44.651 | INFO    |src.controllers.retificacao_controller:retificar:50 - [HU-21] Recuperação: ALGAR (EOT 025) ref 202603 tráfego 202601: 409534.6 min, R$ 2624.88
